id,body_part,equipment,gif_url,name,target
1628,"upper arms","ez barbell",http://d205bpvrqc9yn1.cloudfront.net/1628.gif,"ez barbell spider curl",biceps
1629,"upper arms",barbell,http://d205bpvrqc9yn1.cloudfront.net/1629.gif,"barbell standing wide grip biceps curl",biceps
1630,"upper arms",cable,http://d205bpvrqc9yn1.cloudfront.net/1630.gif,"cable close grip curl",biceps
1631,"upper arms",cable,http://d205bpvrqc9yn1.cloudfront.net/1631.gif,"cable concentration curl",biceps
1632,"upper arms",cable,http://d205bpvrqc9yn1.cloudfront.net/1632.gif,"cable drag curl",biceps
1633,"upper arms",cable,http://d205bpvrqc9yn1.cloudfront.net/1633.gif,"cable one arm preacher curl",biceps
1634,"upper arms",cable,http://d205bpvrqc9yn1.cloudfront.net/1634.gif,"cable lying bicep curl",biceps
1635,"upper arms",cable,http://d205bpvrqc9yn1.cloudfront.net/1635.gif,"cable one arm reverse preacher curl",biceps
1636,"upper arms",cable,http://d205bpvrqc9yn1.cloudfront.net/1636.gif,"cable overhead curl",biceps
1637,"upper arms",cable,http://d205bpvrqc9yn1.cloudfront.net/1637.gif,"cable overhead curl on exercise ball",biceps
1638,"upper arms",cable,http://d205bpvrqc9yn1.cloudfront.net/1638.gif,"cable pulldown bicep curl",biceps
1639,"upper arms",cable,http://d205bpvrqc9yn1.cloudfront.net/1639.gif,"cable rope hammer preacher curl",biceps
1640,"upper arms",cable,http://d205bpvrqc9yn1.cloudfront.net/1640.gif,"cable rope one arm hammer preacher curl",biceps
1641,"upper arms",cable,http://d205bpvrqc9yn1.cloudfront.net/1641.gif,"cable seated curl",biceps
1642,"upper arms",cable,http://d205bpvrqc9yn1.cloudfront.net/1642.gif,"cable seated one arm concentration curl",biceps
1643,"upper arms",cable,http://d205bpvrqc9yn1.cloudfront.net/1643.gif,"cable seated overhead curl",biceps
1644,"upper arms",cable,http://d205bpvrqc9yn1.cloudfront.net/1644.gif,"cable squatting curl",biceps
1645,"upper arms",cable,http://d205bpvrqc9yn1.cloudfront.net/1645.gif,"cable two arm curl on incline bench",biceps
1646,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1646.gif,"dumbbell alternate hammer preacher curl",biceps
1647,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1647.gif,"dumbbell alternate preacher curl",biceps
1648,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1648.gif,"dumbbell alternate seated hammer curl",biceps
1649,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1649.gif,"dumbbell alternating bicep curl with leg raised on exercise ball",biceps
1650,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1650.gif,"dumbbell alternating seated bicep curl on exercise ball",biceps
1651,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1651.gif,"dumbbell bicep curl lunge with bowling motion",biceps
1652,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1652.gif,"dumbbell bicep curl on exercise ball with leg raised",biceps
1653,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1653.gif,"dumbbell bicep curl with stork stance",biceps
1654,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1654.gif,"dumbbell biceps curl reverse",biceps
1655,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1655.gif,"dumbbell biceps curl squat",biceps
1656,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1656.gif,"dumbbell biceps curl v sit on bosu ball",biceps
1657,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1657.gif,"dumbbell cross body hammer curl v. 2",biceps
1658,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1658.gif,"dumbbell lunge with bicep curl",biceps
